Date, Open, High, Low, Close, Volume,Company
07/14/2020,9.9,9.9,9.9,9.9,800,EGAD
07/10/2020,9.9,9.9,9.9,9.9,200,EGAD
07/09/2020,9.9,9.9,9.9,9.9,500,EGAD
07/07/2020,9,9,9,9,400,EGAD
07/02/2020,10,10,9,9,41200,EGAD
06/30/2020,9.9,9.9,9.9,9.9,1100,EGAD
06/26/2020,10,10,9.9,9.92,5100,EGAD
06/24/2020,9.9,9.9,9.9,9.9,100,EGAD
06/23/2020,10,10,10,10,200,EGAD
06/22/2020,9.9,9.9,9.9,9.9,2000,EGAD
06/19/2020,9.9,9.9,9.9,9.9,400,EGAD
06/18/2020,9.9,9.9,9.9,9.9,100,EGAD
06/16/2020,9.9,9.9,9.9,9.9,100,EGAD
06/09/2020,9.9,9.9,9,9,10100,EGAD
06/08/2020,9,9,9,9,2100,EGAD
06/03/2020,8.24,8.24,8.24,8.24,800,EGAD
05/27/2020,8.24,8.24,8.24,8.24,100,EGAD
05/15/2020,9.5,9.5,8.2,8.24,14400,EGAD
05/08/2020,9,9,9,9,2400,EGAD
04/28/2020,10,10,10,10,200,EGAD
04/23/2020,10,10,10,10,600,EGAD
04/09/2020,10,10,10,10,2000,EGAD
04/07/2020,11,11,11,11,200,EGAD
04/06/2020,10,10,10,10,100,EGAD
03/31/2020,11,11,11,11,100,EGAD
03/13/2020,11,11,11,11,1400,EGAD
03/12/2020,10.95,10.95,10.95,10.95,100,EGAD
03/11/2020,10.95,11,10.95,10.95,500,EGAD
03/05/2020,10,10,10,10,100,EGAD
02/26/2020,10,10,10,10,100,EGAD
02/24/2020,9.9,9.9,9.9,9.9,100,EGAD
02/17/2020,11,11,11,11,5400,EGAD
02/13/2020,11,11,11,11,2000,EGAD
02/12/2020,10.9,11,10.75,10.9,1600,EGAD
02/07/2020,10.8,10.8,10.8,10.8,500,EGAD
02/06/2020,10.7,10.7,10.7,10.7,200,EGAD
02/05/2020,10.75,10.75,10.75,10.75,200,EGAD
02/03/2020,10.75,10.9,10.7,10.75,600,EGAD
01/31/2020,11,11,11,11,200,EGAD
01/30/2020,11,11,11,11,100,EGAD
01/24/2020,10.05,10.4,10,10.05,1100,EGAD
01/06/2020,10.4,10.4,10.4,10.4,500,EGAD
01/03/2020,10.5,10.5,10.5,10.5,900,EGAD
12/31/2019,10.1,10.1,10.1,10.1,400,EGAD
12/27/2019,11.2,11.2,11.2,11.2,100,EGAD
12/24/2019,12.3,12.3,12.3,12.3,100,EGAD
12/23/2019,12.3,12.3,12.3,12.3,1100,EGAD
12/19/2019,11.3,11.3,11.3,11.3,100,EGAD
12/16/2019,11.25,11.25,11.25,11.25,300,EGAD
12/10/2019,11.25,11.25,11.25,11.25,100,EGAD
12/09/2019,11.25,11.25,11.25,11.25,100,EGAD
12/06/2019,10.7,11.25,10.2,10.7,200,EGAD
12/05/2019,10.3,10.3,10.3,10.3,100,EGAD
12/02/2019,10.2,10.4,10.2,10.2,1900,EGAD
11/29/2019,10.45,10.45,10.4,10.45,700,EGAD
11/19/2019,10.4,10.4,10.4,10.4,100,EGAD
11/14/2019,11.5,12,11.4,11.5,1300,EGAD
11/12/2019,12.5,12.5,12.5,12.5,500,EGAD
11/08/2019,12.5,12.5,12.5,12.5,1900,EGAD
11/04/2019,12.5,12.5,12.5,12.5,3100,EGAD
10/31/2019,12.5,12.5,12.5,12.5,4800,EGAD
10/24/2019,12.5,12.5,12.5,12.5,200,EGAD
10/18/2019,12.2,12.45,11.35,12.2,800,EGAD
10/08/2019,11.35,11.5,11.3,11.35,1300,EGAD
10/07/2019,11.3,11.3,11.3,11.3,300,EGAD
10/04/2019,12.5,12.5,12.5,12.5,100,EGAD
10/02/2019,13.85,14,12.6,13.85,1300,EGAD
10/01/2019,13.95,14,13.95,13.95,700,EGAD
09/27/2019,14,14,14,14,100,EGAD
09/26/2019,14,14,14,14,800,EGAD
09/25/2019,14,14,14,14,300,EGAD
09/24/2019,13.75,13.75,13.75,13.75,500,EGAD
09/23/2019,13.6,13.6,13.6,13.6,100,EGAD
09/20/2019,13.55,13.6,13.5,13.55,500,EGAD
09/19/2019,13.65,13.75,13.4,13.65,1900,EGAD
